Country,Population,Births per Day,Deaths per Day,Immigrations per Day,Net Change per Day,2025 Population Change
Mozambique,"35,337,306","3,571",666,,"2,726","198,998"
Mauritania,"5,272,010",490,77,,399,"29,127"
Montserrat,,,,,,
Martinique,"341,247",9,10,,7,511
Mauritius,"1,269,195",31,32,,8,584
Malawi,"22,049,524","1,876",319,,"1,542","112,566"
Malaysia,"35,855,540","1,204",528,456,"1,132","82,636"
Mayotte,"333,905",31,2,,29,"2,117"
Namibia,"3,074,655",215,52,5,168,"12,264"
New Caledonia,"294,551",11,5,1,7,511
Niger,"27,654,372","3,116",656,,"2,439","178,047"
Nigeria,"236,085,060","20,919","7,516",,"13,361","975,353"
Nicaragua,"6,980,715",361,90,,248,"18,104"
Niue,,,,,,
Norway,"5,611,521",145,120,82,107,"7,811"
Nepal,"29,624,039","1,510",567,,55,"4,015"
Nauru,"12,003",1,0,,0,0
New Zealand,"5,241,062",160,107,48,100,"7,300"
Oman,"5,437,466",247,28,311,530,"38,690"
Pakistan,"254,027,307","18,917","4,492",,"11,043","806,139"
Panama,"4,554,911",196,62,17,151,"11,023"
Peru,"34,472,701","1,467",536,33,963,"70,299"
Philippines,"116,508,657","5,053","2,067",,"2,577","188,121"
Palau,"17,675",1,1,,0,0
Papua New Guinea,"10,707,874",704,194,,509,"37,157"
Poland,"38,274,406",814,"1,145",,"1,236","90,228"
Puerto Rico,"3,238,295",52,95,15,28,"2,044"
Portugal,"10,416,591",235,324,45,44,"3,212"
Paraguay,"6,988,515",372,110,,227,"16,571"
French Polynesia,"282,276",8,3,,2,146
Qatar,"3,097,265",82,9,99,172,"12,556"
Romania,"18,940,347",489,703,,294,"21,462"
Rwanda,"14,473,168","1,106",233,17,890,"64,970"
Saudi Arabia,"34,387,671","1,547",220,328,"1,654","120,742"
Sudan,"51,181,431","4,535",882,798,"4,451","324,923"
Senegal,"18,804,220","1,500",282,,"1,183","86,359"
Singapore,"5,859,849",136,82,46,101,"7,373"
Solomon Islands,"832,860",61,12,4,54,"3,942"
Sierra Leone,"8,767,362",713,196,,485,"35,405"
El Salvador,"6,357,751",268,131,,72,"5,256"
San Marino,"33,563",1,1,,0,0
Somalia,"19,464,121","2,251",520,33,"1,765","128,845"
Saint Pierre and Miquelon,,,,,,
Serbia,"6,703,859",159,261,,137,"10,001"
South Sudan,"12,116,754",979,329,17,667,"48,691"
Sao Tome and Principe,"238,859",18,4,,13,949
Suriname,"638,233",30,12,,15,"1,095"
Slovakia,"5,486,150",136,154,,104,"7,592"
Slovenia,"2,117,721",47,61,7,6,438
Sweden,"10,642,576",266,265,129,130,"9,490"
Eswatini,"1,252,122",80,27,,37,"2,701"
Seychelles,"132,103",5,3,4,6,438
Turks and Caicos Islands,"46,762",1,1,,1,73
Chad,"20,840,539","2,484",636,,"1,511","110,303"
Togo,"9,660,385",811,203,,567,"41,391"
Thailand,"71,635,839","1,567","1,790",75,148,"10,804"
Tajikistan,"10,729,584",724,136,,529,"38,617"
Tokelau,,,,,,
Turkmenistan,"7,583,041",418,123,36,332,"24,236"
Timor-Leste,"1,413,216",84,28,,49,"3,577"
Tonga,"103,877",6,2,,1,73
Trinidad and Tobago,"1,510,363",43,37,2,7,511
Tunisia,"12,328,128",439,210,,190,"13,870"
Tuvalu,"9,534",1,0,,0,0
Taiwan,"23,142,868",343,564,,278,"20,294"
Uganda,"50,978,743","4,749",662,,"3,761","274,553"
Ukraine,"38,565,733",603,"1,424","4,661","3,840","280,320"
Uruguay,"3,385,287",90,92,,6,438
Uzbekistan,"36,852,233","2,495",613,,"1,863","135,999"
Saint Vincent and the Grenadines,"100,128",3,3,,2,146
Vanuatu,"332,980",25,5,,20,"1,460"
Wallis and Futuna,,,,,,
Samoa,"218,943",15,4,,3,219
Yemen,"41,422,144","3,837",535,,"3,257","237,761"
South Africa,"64,533,914","3,219","1,644",401,"1,976","144,248"
Zambia,"21,735,593","1,941",308,18,"1,651","120,523"
Zimbabwe,"16,855,922","1,371",343,,879,"64,167"
