Country,Population 2025,Area (Km^2),Density,Change (%),Global Population (%),Rank
Bulgaria,6714560.0,110900.0,62,-0.64,0.08,110
Serbia,6689040.0,88400.0,76,-0.7,0.08,111
Republic of the Congo,6484440.0,342000.0,19,2.39,0.08,112
El Salvador,6365500.0,21000.0,307,0.43,0.08,113
Denmark,6002510.0,43100.0,150,0.42,0.07,114
Singapore,5870750.0,710.0,"8,177",0.66,0.07,115
Lebanon,5849420.0,10500.0,572,0.75,0.07,116
Liberia,5731210.0,111400.0,60,2.11,0.07,117
Finland,5623330.0,338400.0,19,0.11,0.07,118
Norway,5623070.0,323800.0,15,0.83,0.07,119
Palestine,5589620.0,6200.0,929,1.71,0.07,120
Central African Republic,5513280.0,623000.0,9,3.43,0.07,121
Oman,5494690.0,309500.0,18,4.04,0.07,122
Slovakia,5474880.0,49000.0,112,-0.58,0.07,123
Mauritania,5315060.0,1000000.0,5,2.82,0.07,124
Ireland,5308040.0,70300.0,77,1.01,0.07,125
New Zealand,5251900.0,270500.0,20,0.73,0.07,126
Costa Rica,5152950.0,51100.0,101,0.45,0.06,127
Kuwait,5026080.0,17800.0,282,1.86,0.06,128
Panama,4571190.0,75400.0,62,1.23,0.06,129
Croatia,3848160.0,56600.0,69,-0.7,0.05,130
Georgia,3806670.0,69700.0,55,-0.03,0.05,131
Eritrea,3607000.0,117600.0,30,2.02,0.05,132
Mongolia,3517100.0,1600000.0,2,1.2,0.04,133
Uruguay,3384690.0,181000.0,19,-0.06,0.04,134
Puerto Rico,3235290.0,8900.0,365,-0.21,0.04,135
Bosnia and Herzegovina,3140100.0,51200.0,61,-0.76,0.04,136
Qatar,3115890.0,11600.0,271,2.21,0.04,137
Namibia,3092820.0,825600.0,4,2.07,0.04,138
Moldova,2996110.0,33800.0,91,-1.28,0.04,139
Armenia,2952360.0,29700.0,104,-0.72,0.04,140
Jamaica,2837080.0,11000.0,262,-0.07,0.04,141
Lithuania,2830140.0,65300.0,45,-1.01,0.04,142
Gambia,2822090.0,10700.0,279,2.25,0.04,143
Albania,2771510.0,28700.0,101,-0.73,0.03,144
Gabon,2593130.0,267700.0,10,2.13,0.03,145
Botswana,2562120.0,582000.0,5,1.63,0.03,146
Lesotho,2363320.0,30400.0,78,1.11,0.03,147
Guinea Bissau,2249520.0,36100.0,80,2.19,0.03,148
Slovenia,2117070.0,20300.0,105,-0.08,0.03,149
Equatorial Guinea,1938430.0,28100.0,69,2.43,0.02,150
Latvia,1853560.0,64599.99999999999,30,-0.98,0.02,151
North Macedonia,1813790.0,25700.0,72,-0.51,0.02,152
Bahrain,1643330.0,765.0,"2,093",2.26,0.02,153
Trinidad and Tobago,1511160.0,5100.0,295,0.22,0.02,154
Timor Leste,1418520.0,14900.0,95,1.28,0.02,155
Cyprus,1370750.0,9300.0,148,0.92,0.02,156
Estonia,1344230.0,45200.0,31,-1.2,0.02,157
Mauritius,1268280.0,2000.0,625,-0.23,0.02,158
